group_id,condition,talk_percentage,on_topic_percentage,q_2_and_3_vs_total_talk,conversation_depth,question_answered
1,robot,98.39092873,82.86686423,65.7447042,3,123
2,computer screen,98.10264386,67.5967026,39.72733037,4,123
3,poster,97.06176962,44.41004472,30.40935673,4,123
4,poster,93.54735152,34.6945779,14.55044612,4,123
5,poster,88.03333333,0,0,1,0
6,computer screen,94.3946932,34.29374561,18.86858749,3,123
7,computer screen,100,48.28966521,13.4279476,5,123
8,poster,96.53061224,40.62720226,30.3030303,2,123
9,robot,97.86563223,74.58960328,56.36114911,4,123
10,computer screen,92.38410596,44.62365591,35.12544803,5,123
11,poster,96.86786297,26.13674638,21.55607949,2,123
12,poster,98.51674641,53.66682856,46.51125142,5,123
14,robot,85.78947368,21.56003506,14.02278703,2,123
15,robot,94.84111416,50.63081696,33.00930714,4,123
16,computer screen,99.72039474,55.79746,49.13409203,4,123
17,computer screen,100,32.16840841,16.37261169,4,13
18,robot,97.68824306,38.94523327,26.20013523,3,123
19,computer screen,99.86486486,12.65223275,0,3,1
20,poster,97.35244519,58.02875455,43.68612506,2,123
21,robot,92.4375422,65.23009496,40.79620161,4,123
22,poster,100,0,0,1,0
23,computer screen,100,0,0,4,0
24,computer screen,66.00321027,54.86381323,30.25291829,3.33333333,123
28,computer screen,97.34864999,25,34.09410112,3,123
29,poster,94.30463576,45.4002809,0,2,0
30,poster,99.35483871,0,0,1,0
32,robot,100,0,36.60665576,3,123
33,robot,97.90082142,54.16407707,46.73710379,5,123
34,robot,99.71830986,84.07485876,57.1680791,3,123
35,robot,64.33268859,30.12627781,21.10643416,2,123
36,robot,97.04512894,74.64476841,72.79940949,4,123
37,robot,77.9819955,50.79365079,39.58633959,3,123
38,poster,33.73181077,0,0,1.33333333,0
39,computer screen,91.84473258,47.61047642,42.31650202,4.33333333,123
40,poster,57.23228995,41.39320668,41.39320668,1,123
41,poster,100,0,0,3,0
42,computer screen,99.12710567,18.77027653,16.20577785,4,123
43,computer screen,98.51265823,48.21715387,21.68326373,4,123
44,robot,96.8989547,25.13484358,18.98597627,4.33333333,123
45,computer screen,96.7127186,14.0714719,5.358995139,4,123
46,robot,92.91027959,20.76976857,14.14004933,3,123
47,poster,99.53968254,40.36038909,0,2,1
48,poster,99.91818483,20.32136263,0,2,1
49,computer screen,95.83333333,42.1875,28.90625,4,123
